clase,N,imagenes,media,mediana,std,Q1,Q3,Shapiro_p,Shapiro_normal,KS_p,KS_normal,Anderson_normal,Skewness,Kurtosis
0,98980,980,0.5235165,0.5418034,0.09432804,0.4929366,0.580444,3.638381574115119e-63,No,0.0,No,No,-2.485157,9.488065
1,114736,1135,0.63259566,0.6873963,0.14613114,0.56825584,0.7303518,4.5299562067278576e-60,No,0.0,No,No,-1.7713072,3.6381502
2,104232,1032,0.5599285,0.5759803,0.09792344,0.5288558,0.615853,7.71035151846248e-65,No,0.0,No,No,-2.7787597,11.497116
3,102010,1010,0.56502706,0.58209336,0.10023704,0.5347564,0.62235355,6.632772664430827e-64,No,0.0,No,No,-2.749816,11.067719
4,99182,982,0.60480696,0.626675,0.10288497,0.588084,0.6572648,3.9523175891973023e-72,No,0.0,No,No,-3.4136631,14.544527
5,90092,892,0.57836396,0.598824,0.10295493,0.54839706,0.6349485,1.3476416637694887e-65,No,0.0,No,No,-2.861842,11.460478
6,96758,958,0.575414,0.59481794,0.10190546,0.54620814,0.6341789,4.403308474036198e-66,No,0.0,No,No,-2.8332016,11.34016
7,103828,1028,0.6190802,0.64227474,0.10808136,0.6057941,0.67238235,5.614625292426503e-73,No,0.0,No,No,-3.3775184,13.747757
8,98374,974,0.55229497,0.57329166,0.098740555,0.52677697,0.608711,1.4228844207413268e-65,No,0.0,No,No,-2.7497563,10.610481
9,102010,1009,0.60437775,0.62614745,0.101128995,0.58863544,0.65460825,2.7707287917225507e-73,No,0.0,No,No,-3.47124,15.120155
