tiempo_t,N,media,mediana,std,Shapiro_p,Shapiro_normal,KS_p,KS_normal,Anderson_normal,Skewness,Kurtosis
0,10002,0.013711189,0.012847935,0.0072174924,1.5019650612953434e-30,No,7.599732689933795e-22,No,No,0.66389585,0.3496089
1,10002,0.1513263,0.1518004,0.011575047,2.725615322581591e-19,No,2.341316065318793e-05,No,No,-0.40237692,0.9568765
2,10002,0.31668347,0.3189267,0.015808525,2.7266560028096676e-46,No,3.0504962311141173e-65,No,No,-1.4838333,4.8528457
3,10002,0.4372772,0.44222617,0.024413824,4.8759179950527105e-51,No,2.811237993923306e-113,No,No,-1.6875242,5.5565987
4,10002,0.50438803,0.5130096,0.033996116,8.913110474959084e-52,No,1.2313203982230992e-121,No,No,-1.6540247,4.432107
5,10002,0.55781704,0.5690118,0.046052184,1.702701207106787e-48,No,7.496786462681589e-92,No,No,-1.4062326,2.7909374
6,10002,0.5714188,0.582616,0.05418254,2.9583237433259006e-42,No,3.980698463569158e-60,No,No,-1.0970464,1.515677
7,10002,0.5993156,0.6090361,0.0629392,4.024513328502e-37,No,1.221799955774059e-36,No,No,-0.8678995,0.8988328
8,10002,0.5942257,0.6009778,0.06672574,3.9262814139403764e-29,No,9.099273319795809e-18,No,No,-0.65951115,0.42806196
9,10002,0.6140895,0.6193892,0.07164208,1.6100916045951718e-27,No,8.738974453490134e-09,No,No,-0.543029,0.318969
10,10002,0.6031326,0.60608196,0.07327288,1.38115894933976e-22,No,2.5469056854356374e-06,No,No,-0.40360183,0.106135845
11,10002,0.6201891,0.62269044,0.076085635,2.375089694099046e-19,No,9.49549333033229e-05,No,No,-0.3552482,0.12800837
12,10002,0.60732025,0.60817003,0.07665168,3.987894714524866e-17,No,0.0013816775439602974,No,No,-0.25300637,0.01794386
13,10002,0.62320894,0.62426007,0.07826089,7.599641074061909e-17,No,0.0005211775484522015,No,No,-0.2534518,0.063129425
14,10002,0.61005795,0.6103456,0.07813085,1.2024691852008528e-14,No,0.0018060570231608307,No,No,-0.18354689,0.005480051
15,10002,0.62532383,0.6260208,0.07906234,5.637898824626357e-16,No,0.0014001987967971231,No,No,-0.215707,0.045473337
16,10002,0.61249995,0.6129254,0.07852103,3.79306930273104e-12,No,0.001451803417910594,No,No,-0.1676819,0.010815144
17,10002,0.62707216,0.6275902,0.07914354,2.0289616912040745e-15,No,0.0017200455923583313,No,No,-0.21297932,0.046744585
18,10002,0.6146812,0.6152002,0.078339994,3.256264373589757e-11,No,0.0038817069962303555,No,No,-0.17431991,0.024271488
19,10002,0.6284224,0.6290761,0.0788611,1.0254634812493515e-13,No,0.004365087792624105,No,No,-0.22756,0.05456233
20,10002,0.6164874,0.6173586,0.077852726,4.0279864931672744e-11,No,0.01652512222849015,No,No,-0.19387847,0.039051294
21,10002,0.62915856,0.6306727,0.07835032,3.419461292561033e-14,No,0.0038412935940914136,No,No,-0.25388154,0.06411266
22,10002,0.617589,0.6189791,0.07712306,8.720971499687235e-11,No,0.015392459421573725,No,No,-0.2205236,0.061524153
23,10002,0.62887543,0.6311685,0.07765876,2.295609318578994e-15,No,0.002466468199177514,No,No,-0.2850609,0.08036399
24,10002,0.61765105,0.620005,0.07622692,4.331363435607705e-12,No,0.005170566270058111,No,No,-0.24706984,0.096184015
25,10002,0.62735534,0.6302457,0.07681863,5.796356849780654e-16,No,0.0005971996623259514,No,No,-0.3146248,0.105871916
26,10002,0.6165566,0.61940396,0.07518376,1.518629236640648e-10,No,0.0012496978949456128,No,No,-0.2699455,0.14861012
