idx,label,R_median,R_mean,R_final,R_std,Global_median,Global_mean,Global_std,DFA_alpha,PSD_slope,MI_mean,MI_median,MI_std,Entropy_mean,Entropy_median,Entropy_std,Corr_mean,Corr_median,Corr_std
0,7,0.6626417,0.6427864,0.6910762,0.09215498,0.42502090334892273,0.4231760007799557,0.014697749613188633,1.9517966354898553,-4.830406738336953,2.1484533650418705,2.092180587971064,0.11278984034407587,3.1536843187843377,3.140856457456982,0.04169285978463561,-0.28738244833705306,-0.26412528472125835,0.25670620891847995
1,2,0.5782811,0.56623167,0.6161012,0.0772466,0.43094995617866516,0.4278377022151605,0.019834618691046305,1.9439510186757734,-4.1241943476467595,2.1733088376415033,2.156888809227656,0.07944829227018833,3.1783647152099137,3.1612922595660295,0.0520574460860481,-0.27783028912664265,-0.2695680409470438,0.4023255357780493
2,1,0.56484836,0.55243456,0.7607866,0.14401731,0.4286111816763878,0.4241962397268208,0.01013121857610043,1.9308560851825418,-3.555339871802808,2.0323631346680653,2.001175164766337,0.07750164425595754,3.1521036891849636,3.157033960244276,0.0383117683952619,-0.2837706171572667,-0.4354358680149102,0.3954705378338148
3,0,0.5334452,0.5287413,0.6083127,0.07260275,0.4348336048424244,0.4301996961752377,0.02208991708048411,1.9637786472638854,-4.0153344755686,2.1967883863380187,2.186556924265324,0.10646044305895772,3.2013398985275834,3.181562023073066,0.04603856403199441,-0.2717073787111701,-0.2904763475572846,0.45818837058226625
4,4,0.65515906,0.63531095,0.6781486,0.08850825,0.42673423141241074,0.42424641599380736,0.01640677260843046,1.9466140061441704,-4.62145436831454,2.1437430816136547,2.0682679897551877,0.12629185318924194,3.1912505511044036,3.1866923069464796,0.02919101920920972,-0.28587872123462144,-0.2605108590198413,0.2868139387467249
5,1,0.6984405,0.642353,0.7562412,0.12948667,0.42622536420822144,0.42199547136995463,0.010481546790767494,1.894416770440692,-3.876202070364949,2.0910181318169667,2.1163596555179867,0.09488829616396244,3.1625377941773865,3.1856226929770166,0.12653651845499994,-0.28590819115480337,-0.38293411570571945,0.29672495232296103
6,4,0.6326053,0.6154399,0.6615555,0.085152805,0.427219495177269,0.425291407300104,0.017178151682773198,1.9492293769297426,-4.607644788938591,2.1778875319060518,2.144389682520508,0.09588755232306051,3.187682852461899,3.187550803871046,0.027536244044265717,-0.2843668383645987,-0.2591116557761838,0.31451198862930935
7,9,0.6621067,0.6447233,0.69845355,0.09221832,0.4248707890510559,0.4232713635826465,0.01560971609719702,1.9282681385298093,-4.786576427576323,2.1273959025471796,2.1075671915282808,0.10698521063737766,3.156183239246964,3.1557146410942942,0.038672312599036585,-0.29260858890912583,-0.2615958045953383,0.2843984076093948
8,5,0.57331055,0.56232095,0.61387014,0.077449255,0.4317120909690857,0.428169911616657,0.019855914622489815,1.953156077849113,-4.0108601182210295,2.2316797805232778,2.1890290957091976,0.09952513663433019,3.206655074471526,3.1994867858724794,0.038350571127758366,-0.2793685103424786,-0.2808384825437839,0.4040030634706061
9,9,0.5734173,0.5646296,0.6310327,0.07795856,0.43245045468211174,0.42913977005104026,0.020911408541614933,1.946133765339454,-4.017505579453128,2.2104849978054038,2.166930794789869,0.08629623353116186,3.2105693118192518,3.205520142621693,0.033674536429110176,-0.27732608947899917,-0.27077865623079367,0.4069065070577687
10,0,0.55918074,0.5450514,0.59962445,0.07303829,0.433223620057106,0.42876968776235486,0.021129131163202114,1.9692626772150819,-4.208051134461628,2.158907605969015,2.1231110696254816,0.10588490061698617,3.1858776984700032,3.16121750414884,0.05060708446932555,-0.2709103203844819,-0.25636077596808277,0.4354166756536878
11,6,0.55339307,0.5428891,0.5920424,0.07142762,0.43287428840994835,0.42907690979761653,0.02097134764832115,1.95784239915984,-4.322760067950116,2.1572056304738205,2.1875507562524397,0.1013541805618259,3.19538044175919,3.174977518641767,0.04635945026439797,-0.2707815263912034,-0.25343018458500444,0.4348009660081088
