Clase,N,R_Md,R_final_Md,Global_Md,PSD_Md,DFA_Md,MI_Md,Entropy_Md,Corr_Md
0,980,0.5418973,0.58833814,0.434197049587965,-4.078729289342865,1.9564369821615286,2.1390069509837173,3.191323906487784,-0.26657620107451246
1,1136,0.6891453,0.7448919,0.42646476440131664,-3.7177104294970746,1.9211283645306731,2.0989529241513623,3.170026942759108,-0.3504177340611462
2,1032,0.5757946,0.61596084,0.43220599740743637,-4.185306432007804,1.940435288000749,2.136399815517108,3.191045050465229,-0.26891300701057286
3,1010,0.58237684,0.6190647,0.4312908574938774,-4.22332766781131,1.9376581144198117,2.136128710666178,3.1940640752691993,-0.27092500905001815
4,982,0.62972903,0.65739775,0.4291407912969589,-4.31041643487967,1.9361965924092428,2.119971728547787,3.189602444946602,-0.2623686982342853
5,892,0.6041727,0.6275261,0.4304234478622675,-4.230205377174517,1.9350791501976583,2.131031714681786,3.191958035305271,-0.273412059577957
6,958,0.59573925,0.631675,0.43170246109366417,-4.110336439930774,1.9326312161674264,2.129714535552778,3.1947779766531,-0.2628836047723182
7,1028,0.64880854,0.6732116,0.42734259366989136,-4.333708836810204,1.9281095278264202,2.112176721897727,3.1870261489164786,-0.264300351537895
8,974,0.5725415,0.61312354,0.43261883594095707,-4.0583350182981475,1.943223432447457,2.1450865403036823,3.194371534873376,-0.2753077689254089
9,1010,0.62747943,0.6582185,0.42978644743561745,-4.241540509237929,1.9287950769380025,2.129258041694257,3.196486418229894,-0.26219666910145506
